Player,season,season_type,team,mp,raptor_total,war_total,predator_total,vorp_reg,vorp_post,G_y,post_mpg
Steven Adams,2022,RS,MEM,1999,2.303360660429178,5.140587252649321,3.207289062856876,2.0,0.0,7,
Bam Adebayo,2022,RS,MIA,1825,3.780922362256335,6.102629373035682,3.81990098938466,2.7,0.8,18,
Grayson Allen,2022,RS,MIL,1805,0.3653716322109578,2.866134370964548,0.058997498044893,1.1,0.2,12,
Kyle Anderson,2022,RS,MEM,1484,-0.5972706898955448,1.63351349967296,0.0133163813552946,1.2,0.3,12,
Giannis Antetokounmpo,2022,RS,MIL,2204,7.747637976398462,12.00410798990328,6.75646511431988,7.4,1.4,12,
OG Anunoby,2022,RS,TOR,1728,-0.4098876241307007,2.061409959719027,1.304539480762033,1.1,0.1,6,
Deandre Ayton,2022,RS,PHO,1713,0.4589809437109931,2.799981065293448,0.7431453522112822,2.1,0.6,13,
Desmond Bane,2022,RS,MEM,2266,3.215129495698611,6.87073615671475,4.433402883218555,2.7,0.6,12,
Scottie Barnes,2022,RS,TOR,2617,0.7438224634444497,4.637327677251969,2.431378904186408,1.9,0.1,4,
Will Barton,2022,RS,DEN,2277,-1.538423538582626,1.405969737324133,-1.328351543099808,0.9,0.0,5,
Malik Beasley,2022,RS,MIN,1976,-1.38260800928466,1.380227530703889,-1.603655159460883,0.7,0.0,6,
Patrick Beverley,2022,RS,MIN,1476,3.922564198824649,5.030521368155594,4.376537059049117,1.7,0.1,6,
Nemanja Bjelica,2022,RS,GSW,1142,0.9920700336065996,2.187437395918881,1.880840476266654,1.0,0.0,15,
Devin Booker,2022,RS,PHO,2345,4.752480262845424,9.068928828093563,5.510263903856412,3.6,0.4,10,
Chris Boucher,2022,RS,TOR,1690,0.722049306348055,2.983113225574814,1.110320836047122,0.9,0.2,6,
Mikal Bridges,2022,RS,PHO,2854,2.647957474110315,7.83624197540691,3.278431252598171,2.6,0.4,13,
Bruce Brown,2022,RS,BRK,1774,0.8371758412272414,3.228526369299204,1.31739745376524,1.2,0.2,4,
Jaylen Brown,2022,RS,BOS,2220,2.758700282208056,6.297404597926707,3.444873925131597,2.2,1.1,24,
Troy Brown Jr.,2022,RS,CHI,1055,-1.59324939301913,0.619989878783839,-1.970559577974532,0.1,0.0,3,
Jalen Brunson,2022,RS,DAL,2524,1.747014701982058,5.698372528382348,1.950662989040552,1.9,0.6,18,
Reggie Bullock,2022,RS,DAL,1902,-0.2977206224541389,2.369458924748812,-0.1315192290841091,0.3,0.4,18,
Jimmy Butler,2022,RS,MIA,1931,4.096835854096256,6.701067792813759,4.052626361826191,4.0,2.2,17,
Facundo Campazzo,2022,RS,DEN,1184,-0.7820259092213049,1.187205769968698,-0.618125851911685,0.4,-0.1,4,
Clint Capela,2022,RS,ATL,2042,2.739922598972687,5.693425073683097,2.717325942368636,2.1,0.0,2,
Alex Caruso,2022,RS,CHI,1147,5.1226168496308,4.618216267594281,5.641569905949236,0.6,0.2,4,
Brandon Clarke,2022,RS,MEM,1246,2.885628966892005,3.584915182984088,2.34394862596943,2.0,0.5,12,
Jordan Clarkson,2022,RS,UTA,2141,2.202680418663191,5.381616576822306,2.506654361403013,0.7,0.3,6,
John Collins,2022,RS,ATL,1663,1.448729304472959,3.547305034575545,2.188603497518846,1.5,0.0,5,
