Player,Age,season,season_type,raptor_total,war_total,predator_total,years_league,years_playoff,performance_score
Aaron Gordon,26,2019,PO,0.4923385162974376,0.10507767954119446,0.5076092284554022,5,1,1.1050254242940343
Aaron Gordon,26,2021,PO,0.5478599089339611,0.1647834184412974,0.5044968272999242,8,2,1.2171401546751826
Aaron Gordon,26,2022,PO,0.631961096663839,0.2147686754879219,0.6619336658048962,11,3,1.508663437956657
Al Horford,35,2015,PO,0.6259283159759791,0.38743760153945844,0.5721906106841026,2,1,1.58555652819954
Al Horford,35,2016,PO,0.6063483405998552,0.26219725703257557,0.6261669597228687,4,2,1.4947125573552995
Al Horford,35,2017,PO,0.5833715774432995,0.3017907422152408,0.52496213524432,6,3,1.4101244549028604
Al Horford,35,2018,PO,0.6254459021227131,0.45931217368397487,0.5818665157896731,8,4,1.666624591596361
Al Horford,35,2019,PO,0.7092486727449753,0.4101992027919528,0.740382047184575,10,5,1.8598299227215032
Al Horford,35,2020,PO,0.5228861765341515,0.13032906760900892,0.49728521271930953,12,6,1.15050045686247
Al Horford,35,2022,PO,0.6538889407557631,0.6391361694878179,0.6968049252934383,15,7,1.9898300355370193
Alec Burks,30,2018,PO,0.6037398800731291,0.1786357690613395,0.5624587479067198,5,1,1.3448343970411885
Alec Burks,30,2020,PO,0.5424031006407497,0.13982684712117696,0.5240356666140014,10,2,1.206265614375928
Alec Burks,30,2021,PO,0.6599689540067479,0.21552240767503478,0.6153321672480269,13,3,1.4908235289298095
Alex Caruso,27,2020,PO,0.5642823750117891,0.22944621254450942,0.5407582380916702,3,1,1.3344868256479687
Alex Caruso,27,2021,PO,0.4470907210882086,0.08480236097839303,0.4538197003428017,5,2,0.9857127824094033
Alex Caruso,27,2022,PO,0.6815944679882759,0.21720243854793536,0.6942397169702975,7,3,1.5930366235065088
Amir Coffey,24,2020,PO,0.8524118818157133,0.1435690001382611,0.7871329046724185,1,1,1.7831137866263929
Amir Coffey,24,2021,PO,0.6092232497260867,0.13875944384285507,0.5215818024331482,3,2,1.26956449600209
Andrew Wiggins,26,2018,PO,0.5141485373993603,0.1228421576020044,0.511204176030336,4,1,1.1481948710317007
Andrew Wiggins,26,2022,PO,0.6502745021244087,0.6008184991314212,0.7042744605358398,10,2,1.9553674617916696
Anfernee Simons,22,2019,PO,0.31290993524868604,0.11960943089565564,0.29655603256249036,1,1,0.729075398706832
Anfernee Simons,22,2020,PO,0.6643554284232693,0.18867901886803376,0.6593116685158925,3,2,1.5123461158071956
Anfernee Simons,22,2021,PO,0.49787464858022457,0.11784672714750925,0.37954670683950203,5,3,0.9952680825672358
Anthony Davis,28,2015,PO,0.6328111486545682,0.22157718178613375,0.762313274317035,2,1,1.616701604757737
