Player,Age,season,season_type,raptor_total,war_total,predator_total,years_league,years_playoff,performance_score
Aaron Gordon,26,2019,RS,0.536522375269351,0.2510795855118113,0.4538849841816662,6,1,1.2414869449628285
Aaron Gordon,26,2021,RS,0.5048405630554663,0.1018174141057242,0.4456350087394519,9,2,1.0522929859006425
Aaron Gordon,26,2022,RS,0.5169602967685277,0.20543167046029834,0.4323231632730691,12,3,1.154715130501895
Al Horford,35,2015,RS,0.5797578135657769,0.2898405083297073,0.5111431204143382,3,1,1.3807414423098225
Al Horford,35,2016,RS,0.5635541517096657,0.29527548423087124,0.5126317699444322,5,2,1.3714614058849692
Al Horford,35,2017,RS,0.5453539817001376,0.23252105896409472,0.48167335919218396,7,3,1.2595483998564163
Al Horford,35,2018,RS,0.6496239547210563,0.38361232456195615,0.5575052567439163,9,4,1.5907415360269286
Al Horford,35,2019,RS,0.6075434996804973,0.29116026432594033,0.569998887024462,11,5,1.4687026510308996
Al Horford,35,2020,RS,0.5519737119358972,0.2285069361345845,0.5319317482365021,13,6,1.3124123963069838
Al Horford,35,2022,RS,0.636062946702779,0.32905689945894523,0.5688795192529554,16,7,1.5339993654146795
Alex Caruso,27,2020,RS,0.6295058812775411,0.2181146914626101,0.5962824666750202,4,1,1.4439030394151713
Alex Caruso,27,2021,RS,0.6122182328211856,0.21061950082504116,0.5670601746012205,6,2,1.3898979082474472
Alex Caruso,27,2022,RS,0.681218267510876,0.25114401421776894,0.6523708664257388,8,3,1.5847331481543838
Andrew Wiggins,26,2018,RS,0.49838341943698194,0.20640330042722174,0.4476241111921216,5,1,1.1524108310563252
Andrew Wiggins,26,2022,RS,0.5475808365557515,0.2467331287675074,0.522265423276482,11,2,1.3165793885997408
Anthony Edwards,20,2022,RS,0.5713770646521154,0.2936074379661313,0.5474338731917403,3,1,1.4124183758099869
Austin Rivers,29,2015,RS,0.37884981627265035,0.04785443756172909,0.31735973757144154,3,1,0.7440639914058209
Austin Rivers,29,2016,RS,0.42676211132151287,0.07232635555156783,0.363000985870391,6,2,0.8620894527434717
Austin Rivers,29,2017,RS,0.4383480851294638,0.08798827306826092,0.38095186158359723,8,3,0.9072882197813219
Austin Rivers,29,2019,RS,0.45001077294891545,0.0912127580978436,0.40922771509382094,11,4,0.95045124614058
Austin Rivers,29,2020,RS,0.45376191013370093,0.09894081441543591,0.36770489187310385,14,5,0.9204076164222407
Austin Rivers,29,2021,RS,0.4882789038587784,0.08546667018983785,0.4475286844427585,16,6,1.0212742584913748
Austin Rivers,29,2022,RS,0.4015279859970654,0.04960490589445929,0.31366364940417124,19,7,0.764796541295696
